search_keyword,title,company,location,salary_min,salary_max,created,description,experience_level,skills_found
business analyst,Senior Salesforce QA Engineer,Huron Consulting Group,"Jaipur, Rajasthan",,,2026-05-10T09:58:24Z,"Huron is a global consultancy that collaborates with clients to drive strategic growth, ignite innovation and navigate constant change. Through a combination of strategy, expertise and creativity, we help clients accelerate operational, digital and cultural transformation, enabling the change they need to own their future. Join our team as the expert you are now and create your future. Salesforce QA test engineer with 4 years of relevant experience on manual testing. Hands on with testing, test…",Mid-level / Not Specified,Not mentioned
business analyst,Cluster Head - Wealth - Sales - Jaipur - Vaishali Nagar (1st Floor) - MM,Tata Capital,"Jaipur, Rajasthan",,,2026-05-10T02:22:50Z,"Description Business Development, Portfolio Performance Analysis, Portfolio Modeling, Portfolio Management and Business Analytics, Financial Analyst, wealth Management"" • Managing PL of the Region and Building up Market Share • Owning and Establishing Tata Capital Wealth Management Brand for the regions • Recruitment, Nurturing talent,Hand Holding • Reviewing team’s performance for optimisation of revenues • Co Owning clients of the team • Address HNI and ultra HNI clients for investment requir…",Mid-level / Not Specified,Not mentioned
business analyst,Sr.Relationship Manager - Wealth - Jaipur - Golden Leaf - MM,Tata Capital,"Jaipur, Rajasthan",,,2024-07-31T03:20:09Z,"Description 11101 Business Development, Portfolio Performance Analysis, Portfolio Modeling, Portfolio Management and Business Analytics, Financial Analyst, Wealth Management • Address HNI clients for investment requirements, through exclusive product bouquet and superior and seamless service delivery to assist client in achieving his short term and long term investment goals via proper profiling and offering of Debt products, Structures, Equities, MFs and Fund based Real Estate products and oth…",Mid-level / Not Specified,Not mentioned
data analytics,Assistant Professor,Poornima University,"Jaipur, Rajasthan",,,2026-06-03T16:35:17Z,About the Company Require a senior faculty from Analytics Domain who can teach the following subjects to BBA & MBA students for approximately 20 hours per week: Advanced Statistical Methods Introduction to Analytics SQL Python for Data Science Power BI Services Social Media Analytics Big Data Analytics Data Visualisation Time Series Analysis & Forecasting Qualifications Must have a PG Degree from a reputed institution,Senior,"sql, python, power bi"
data analytics,Marketing Manager (Tech/SaaS),Throttll,"Jaipur, Rajasthan",,,2026-06-24T16:47:52Z,"Job Summary We are looking for a data-driven and strategic SaaS Marketing Manager to own the end-to-end execution of our inbound growth funnel. In this role, you will bridge the gap between product value and market awareness. You will design, launch, and optimize multi-channel marketing campaigns that drive high-intent product sign-ups, nurture trial users, and boost long-term subscriber retention. The ideal candidate possesses a deep understanding of B2B/B2C SaaS dynamics, user lifecycle stage…",Mid-level / Not Specified,Not mentioned
data analytics,Assistant Professor – Quantitative Techniques,NIMS University,"Jaipur, Rajasthan",,,2026-06-22T17:14:18Z,"Position Overview NIMS School of Business, NIMS University Rajastha n invites applications from qualified and experienced academicians for the position of Assistant Professor – Quantitative Technique s. We are looking for individuals with a strong academic background, a passion for teaching, and a commitment to research and academic excellence . Areas of Experti se Candidates with specialization in the following areas are preferred to app ly:Quantitative Techniq uesBusiness Statist icsOperation…",Mid-level / Not Specified,excel
data analytics,Professor of Computer Science,Jaipur Engineering College and Research Centre ,"Jaipur, Rajasthan",,,2026-05-05T08:04:28Z,"Job Summary: JECRC College, Jaipur invites applications for the position of Professor (Computer Science) from accomplished academicians with expertise in Artificial Intelligence (AI), Data Science, Machine Learning, Cybersecurity, and emerging technologies , along with strong teaching, research, and academic administrative experience in reputed institutions. Key Requirements: Education: B.Tech., M.Tech., and Ph.D. in Computer Science / CSE / allied disciplines ( mandatory ) All qualifications m…",Mid-level / Not Specified,machine learning
data analytics,E-Commerce Operations Manager,Superkicks,"Jaipur, Rajasthan",,,2026-06-27T19:52:14Z,"About Superkicks Superkicks is one of India’s leading destinations for premium sneakers and lifestyle apparel, featuring both general releases and exclusive limited-edition collections. Headquartered in Mumbai, Superkicks operates multiple retail stores across India and a fast-growing eCommerce platform that serves sneaker and streetwear enthusiasts nationwide. At Superkicks, we are building more than a retail brand - we are nurturing a community driven by creativity, culture, and innovation. R…",Senior,Not mentioned
data analytics,Teaching Assistant,HSB - Hari Shankar Singhania School of Business,"Jaipur, Rajasthan",,,2026-06-11T21:10:15Z,"JOB PURPOSE: The person shall work closely with the faculty in course deliverables and support the academic service and administration for smooth functioning of the programmes. KEY ACCOUNTABILITIES: The incumbent shall be responsible to provide the following administrative support to the faculty and students: Assist the faculty (Instructor) in preparing course outline, identifying and collecting reading material, developing teaching notes, marking class participation, conducting and grading exa…",Mid-level / Not Specified,Not mentioned
data analytics,Aptitude Trainer,Sunstone,"Jaipur, Rajasthan",,,2026-06-28T01:11:51Z,"What does a day-to-day look like in this role? Classroom Delivery & Training through engaging sessions on: ● Quantitative Aptitude: Arithmetic, Algebra, Number Systems, Data Interpretation ● Logical Reasoning: Analytical reasoning, puzzles, arrangements, patterns ● Verbal Reasoning: Critical reasoning, sentence correction, reading-based reasoning ● Train students across varied academic backgrounds and skill levels. ● Use step-by-step explanations, multiple solving approaches, and timed practice…",Mid-level / Not Specified,Not mentioned
data analytics,Senior Accountant,GPWPL,"Jaipur, Rajasthan",,,2026-06-16T09:30:06Z,"Hiring: Senior Accountant – Water Supply EPC Infrastructure Company We are an EPC company specializing in water supply infrastructure (JJM, AMRUT, Smart Cities), is looking for an experienced Senior Accountant to manage core accounting and finance functions. Role Overview Handle day-to-day accounting operations, financial reporting, banking coordination, and compliance for a multi-bank EPC company executing large government infrastructure projects. Key Requirements  B.Com/M.Com (CA Inter/CMA In…",Senior,Not mentioned
data analytics,Head of Ecommerce,Superkicks,"Jaipur, Rajasthan",,,2026-06-27T19:55:34Z,"Company Description Superkicks is India’s leading destination for premium lifestyle Sneakers and apparel, including both general and limited editions. Headquartered in Mumbai and Jaipur, the brand operates five stores across the country, catering to the vibrant and creative community. At Superkicks, we celebrate passion, innovation, and the energy behind creative endeavors, striving to inspire and serve those passionate about their craft. Committed to being a cornerstone of the lifestyle and sn…",Senior,Not mentioned
data analytics,Consultant - Salesforce,MTX Group,"Jaipur, Rajasthan",,,2026-06-12T00:12:00Z,"Job Description MTX Group Inc. (MTX) is currently hiring for the position of Consultant in a Technical Role. We are looking for a highly motivated individual with extensive experience in leading large-scale complex projects. The ideal candidate will be responsible for developing and customizing Salesforce solutions, implementing new features, and ensuring the overall quality of our Salesforce implementation. MTX is a global technology consulting firm that enables organizations to modernize thro…",Senior,Not mentioned
data analytics,Senior Data Engineer,Xebia,"Jaipur, Rajasthan",,,2026-06-25T18:52:21Z,Mandatory Skill: Azure Databrick Structured Streamin Delta Lake Delta Live Tables (DLTSpark Declarative Pipelines (SDP DatabricksAsset Bundle Unity Catalo Auto Loade Cloud File Apache SparK Preferred Experience eMigration of traditional ETL pipelines to Spark Declarative Pipeline Enterprise-scale Lakehouse implementation Data Quality frameworks and governance solution Large-scale streaming architectures processing millions of events per da Experience implementing Medallion Architecture Streamin…,Mid-level / Not Specified,Not mentioned
data analytics,Chief Marketing Officer,Suncrypto,"Jaipur, Rajasthan",,,2026-06-05T17:20:31Z,"Core Responsibilities Develop and execute comprehensive marketing and business growth strategies aligned with SunCrypto’s short- and long-term goals. Lead and manage the Marketing Team, including hiring, mentoring, performance tracking, and ensuring alignment across brand, growth, and communication functions. Lead cross-functional teams across marketing, product, compliance, and technology to deliver integrated campaigns and data-backed business decisions. Design and optimize monetization model…",Senior,Not mentioned
data analytics,Azure Data Engineer,Celebal Technologies Pvt Ltd,"Jaipur, Rajasthan",1000000.0,1500000.0,2023-06-17T16:36:28Z,"Job Description: An Azure Data Engineer is responsible for designing, implementing, and maintaining pipelines and ETL/ ELT flow solutions on the Azure cloud platform. This role requires a strong understanding of migration database technologies and the ability to deploy and manage database solutions in the Azure cloud environment. Key Skills: · Min. 3 years of Experience with data modeling, data warehousing, and building ETL pipelines. · Must have a firm knowledge of SQL, NoSQL, SSIS SSRS, and E…",Mid-level / Not Specified,sql
data analytics,Data Operation Specialist,r3 Consultant,"Jaipur, Rajasthan",600000.0,1000000.0,2025-11-20T01:42:23Z,"Data Operation Specialist Budget: Open / As per Market Standards No of positions: 3 Shift: 11.00 AM - 8.00 PM IST Experience: 4-6 Years of experience Location : Remote The Data Operations Specialist is responsible for executing data analysis, developing queries, and supporting data-driven initiatives across prospect, customer, and internal projects. This role focuses on ensuring the accuracy, consistency, and organization of data to enable effective reporting and insights. The specialist works …",Mid-level / Not Specified,Not mentioned
data analytics,Sales Manager (B2B),Overmorrow Analytics  Ltd,"Jaipur, Rajasthan",300000.0,400000.0,2019-06-05T21:12:17Z,"Job Description: a. Responsible for an individual target and managing schools in the given territory. b. Visit and meet Principals/Teachers of schools and converting them into customers, through product demos (In-person), follow-up, etc. c. Using negotiation skills in creating the best deal for both customer and the organisation. d. Travel within the defined territory showcasing the unique product proposition to potential customers. e. Independently handle a portfolio of 20-30 (potential custom…",Mid-level / Not Specified,Not mentioned
data analytics,Brand Marketing Manager- Jaipur,Right Advisors,"Jaipur, Rajasthan",,,2026-05-13T02:10:26Z,"Job Description: Job Description: Head of Marketing: Responsible for overseeing and leading the marketing strategies and activities. Event Management: Execute various fashion events, promotional events and store launch events. Team Leadership : Manage a team of professionals, including social media and PR personnel, ensuring effective collaboration and optimal performance Brand Campaigns: Direct and coordinate the production of brand campaigns, demonstrating creativity, strategic thinking, and …",Senior,Not mentioned
data analytics,Data Operation Lead,r3 Consultant,"Jaipur, Rajasthan",1500000.0,2500000.0,2025-10-31T05:32:57Z,"Data Operation Lead Location- Jaipur WFH Budget- Open as per market standards Exp- 7-10 yrs 1 position open 5 days working Shift Timings- 10-7 Job Description: The Data Operations Lead will oversee and manage the data operations team responsible for data analysis, query development, and the execution of data-driven initiatives. This role ensures the effective management, organization, and delivery of high-quality data across prospect, customer, and internal projects. The Data Operations Lead wi…",Senior,Not mentioned
data analytics,Executive Operations,Enormous Enterprise LLC,"Jaipur, Rajasthan",,,2026-06-07T05:57:58Z,"Job Title: Executive Operations Location: Jaipur, Rajasthan Job Type: Full Time - Work from Office Job Descriptions: An Executive Operations Assistance should work under Directors & Operations Manager and manages end-to-end digital retail processes. Key duties include maintaining website design, development, content management & product listings on the website, overseeing inventory and fulfilment, and resolving customer returns. They act as the bridge between warehouses, courier services, and d…",Mid-level / Not Specified,Not mentioned
